   -0.231045538031869357E+01   -0.191450819684469753E+00    0.164839608748726718E+00    0.140030916891670074E+03   -0.346485489540342684E+01   -0.554016307968959065E+01   -0.719855261103992738E+01   -0.569518160579037946E+01   -0.232823927366252761E+02
   -0.194326236443874834E+01   -0.206302319370748943E+00    0.142115511770773306E+00    0.291558592318816409E+03   -0.334076480340294246E+01   -0.775304005833089427E+01   -0.350224002783589139E+01   -0.493394840466030082E+01   -0.220789572885925232E+02
   -0.297580385593330110E+01   -0.186717701951182313E+00    0.155142677041130383E+00    0.255099269742856222E+03   -0.452942516996070843E+01   -0.654479942605237586E+01   -0.678662707472563564E+01   -0.695519096818775751E+01   -0.216326091564808571E+02
   -0.952054059375328166E+00   -0.384877095593211926E+00    0.342746652508880700E-01    0.212316812886022262E+03   -0.262534219405636460E+01   -0.721713632110389014E+01   -0.501364897348684124E+01   -0.465244213990072897E+01   -0.215586896972004354E+02
   -0.218056313891805686E+00   -0.701295075386142219E+00   -0.202787507186241278E+00    0.127263260591070448E+03   -0.237569778346028393E+01   -0.616430147105659643E+01   -0.680186366966849132E+01   -0.709472297779710015E+01   -0.213861424807704736E+02
   -0.154060486666300545E+01   -0.397854636576122189E+00    0.281911140207911082E-01    0.140953475965397956E+03   -0.356915298892637178E+01   -0.612149318046080460E+01   -0.671567759212957238E+01   -0.474341218323434699E+01   -0.213692523156527194E+02
   -0.766068537592919263E+00   -0.402182550985386023E+00    0.302546774749687941E-01    0.203441073641857997E+03   -0.239952437568792121E+01   -0.619503402530939518E+01   -0.314421143178152196E+01   -0.415543593138887335E+01   -0.212143066568029610E+02
   -0.119262984693353946E+01   -0.560593868699735598E+00   -0.104031365215991656E+00    0.118368935933273690E+03   -0.360275737305701238E+01   -0.675908937781334984E+01   -0.700648429990875599E+01   -0.691600918939398035E+01   -0.211911657005259286E+02
   -0.359512434416813997E+01   -0.177646953179252165E+00    0.157823530538164114E+00    0.527460557446344183E+03   -0.503978228190883204E+01   -0.757673510078608281E+01   -0.624001224873970006E+01   -0.759646560275914062E+01   -0.211804307709859145E+02
   -0.234762323296818565E+00   -0.710782889821154118E+00   -0.216904515314567448E+00    0.197929288696629669E+03   -0.245882518590788024E+01   -0.623809126903013311E+01   -0.692727352654052453E+01   -0.658957356102366631E+01   -0.207472559634186489E+02
   -0.151465069209821923E+01   -0.696174113780763992E+00   -0.203858282399594692E+00    0.154389651580872311E+03   -0.411733084214080947E+01   -0.725108596413249895E+01   -0.445160006296566024E+01   -0.754748026315224063E+01   -0.205886565323914006E+02
   -0.280821439051007982E+01   -0.230503071161466178E+00    0.122820790609035058E+00    0.394974440403587323E+03   -0.445726206350650500E+01   -0.766353126879691526E+01   -0.591324384461202879E+01   -0.559187561374421982E+01   -0.205055482699567513E+02
   -0.145446721076432084E-01   -0.783904794303321051E+00   -0.285013363168110878E+00    0.159233186233196506E+03   -0.250065545209690754E+01   -0.456194311117886464E+01   -0.567931208945786814E+01   -0.409321339427021158E+01   -0.203472192747935594E+02
   -0.245467159603642671E+01   -0.298628326683143985E+00    0.863858778074395595E-01    0.315397777780178103E+03   -0.427377448465354348E+01   -0.783750807633358093E+01   -0.543682715755186852E+01   -0.788283493159239157E+01   -0.202213483885233529E+02
   -0.239548052635860920E+01   -0.266959038492968759E+00    0.104116754541073053E+00    0.183226309085157027E+03   -0.405185778467028346E+01   -0.625975365683281648E+01   -0.638526915882777768E+01   -0.627522327139596836E+01   -0.201978688679767693E+02
   -0.886731469285463092E+00   -0.439341071777686221E+00   -0.120976043852674131E-01    0.191934973519741106E+03   -0.288560528065961819E+01   -0.720244059254413749E+01   -0.501383574085185657E+01   -0.757336442478801430E+01   -0.201591896174252980E+02
   -0.105756470172647976E+01   -0.388749054755447965E+00    0.214124455380253487E-01    0.142569954491509463E+03   -0.300903835579621948E+01   -0.740778844887656973E+01   -0.403726758682923226E+01   -0.581980082061566861E+01   -0.201322653759172852E+02
