Nested Sampling Global Log-Evidence           :   -0.308624154731051412E+02  +/-    0.201496024824080744E+00
Nested Importance Sampling Global Log-Evidence:   -0.321038693001346047E+02  +/-    0.244451667759959836E-01

Dim No.       Mean        Sigma
   1   -0.125227388391433037E+01    0.505232154669126188E+00
   2   -0.831391469045715592E+00    0.231564349706103345E+00
   3   -0.322967169635455909E+00    0.194840353247600184E+00
   4    0.141092330789187287E+03    0.332115883609763003E+02
   5   -0.379891542094137202E+01    0.489573886068661257E+00
   6   -0.718086240052951297E+01    0.601381550044473689E+00
   7   -0.597819916373920890E+01    0.119060704063438050E+01
   8   -0.656351930713216891E+01    0.834920931407946654E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.155096352660990577E+01
   2   -0.120207000053269253E+01
   3   -0.646282465082669955E+00
   4    0.109283204159770378E+03
   5   -0.453668631203669737E+01
   6   -0.797166758550806520E+01
   7   -0.755603942837802034E+01
   8   -0.697152280693664927E+01

MAP Parameters
Dim No.        Parameter
   1   -0.155096352660990577E+01
   2   -0.120207000053269253E+01
   3   -0.646282465082669955E+00
   4    0.109283204159770378E+03
   5   -0.453668631203669737E+01
   6   -0.797166758550806520E+01
   7   -0.755603942837802034E+01
   8   -0.697152280693664927E+01
