    0.194551646709442139E+01   -0.377865970134735107E+00   -0.891627550125122070E+00    0.756340193748474121E+03   -0.793503224849700928E+01   -0.563865077495574951E+01   -0.252496159076690674E+01   -0.721472823619842529E+01   -0.509341156465933859E+09   -0.599146350544150419E+01    1
    0.168079388141632080E+01   -0.379953944683074951E+01    0.952749967575073242E+00    0.604286462068557739E+03   -0.753276062011718750E+01   -0.699887478351593018E+01   -0.517075693607330322E+01   -0.646442103385925293E+01   -0.494041510728832066E+09   -0.599396350544151169E+01    1
    0.193955767154693604E+01   -0.346371704339981079E+01   -0.133242011070251465E+01    0.916340720653533936E+03   -0.627738451957702637E+01   -0.591845273971557617E+01   -0.473709380626678467E+01   -0.376756715774536133E+01   -0.459717618636386275E+09   -0.599646350544151474E+01    1
    0.193267512321472168E+01   -0.258910441398620605E+01   -0.953466415405273438E+00    0.723176664113998413E+03   -0.641794443130493164E+01   -0.437358224391937256E+01   -0.551597225666046143E+01   -0.597985637187957764E+01   -0.428607320668993771E+09   -0.599896350544151957E+01    1
    0.187085378170013428E+01   -0.361749345064163208E+01    0.126253843307495117E+00    0.631619995832443237E+03   -0.746972048282623291E+01   -0.517452704906463623E+01   -0.608782815933227539E+01   -0.520533096790313721E+01   -0.321728553487340808E+09   -0.600146350544151552E+01    1
    0.145720207691192627E+01    0.947333633899688721E+00   -0.192196774482727051E+01    0.991382491588592529E+03   -0.634648716449737549E+01   -0.381179141998291016E+01   -0.754471540451049805E+01   -0.395670688152313232E+01   -0.310373704937466741E+09   -0.600396350544151858E+01    1
    0.880816459655761719E+00   -0.389665150642395020E+01    0.580717563629150391E+00    0.307867175340652466E+03   -0.546012508869171143E+01   -0.648652100563049316E+01   -0.279110467433929443E+01   -0.429939055442810059E+01   -0.267803481443706870E+09   -0.600646350544151630E+01    1
    0.167235386371612549E+01   -0.357501083612442017E+01   -0.139306378364562988E+01    0.671366739273071289E+03   -0.705104768276214600E+01   -0.792868828773498535E+01   -0.725478076934814453E+01   -0.579080247879028320E+01   -0.256365123352584690E+09   -0.600896350544152469E+01    1
    0.166185176372528076E+01   -0.414951384067535400E+00   -0.140765595436096191E+01    0.686783379316329956E+03   -0.641609084606170654E+01   -0.785426270961761475E+01   -0.348953795433044434E+01   -0.587059569358825684E+01   -0.254715765542373776E+09   -0.601146350544151886E+01    1
    0.123573350906372070E+01   -0.761448681354522705E+00   -0.254114389419555664E+00    0.835884213447570801E+03   -0.639049363136291504E+01   -0.738882040977478027E+01   -0.785273277759552002E+01   -0.555703437328338623E+01   -0.224225245514294267E+09   -0.601396350544150859E+01    1
    0.179611313343048096E+01   -0.387361639738082886E+01   -0.557117223739624023E+00    0.844157916307449341E+03   -0.446735477447509766E+01   -0.717697632312774658E+01   -0.559933638572692871E+01   -0.629287374019622803E+01   -0.215740547207742840E+09   -0.601646350544151520E+01    1
    0.185530483722686768E+01   -0.270702683925628662E+01   -0.123555207252502441E+01    0.978132110834121704E+03   -0.741449880599975586E+01   -0.417920756340026855E+01   -0.355444490909576416E+01   -0.296701896190643311E+01   -0.186871396433351040E+09   -0.601896350544151559E+01    1
    0.113638448715209961E+01   -0.372987741231918335E+01    0.506637811660766602E+00    0.373086804151535034E+03   -0.374707722663879395E+01   -0.564761006832122803E+01   -0.603717195987701416E+01   -0.635264730453491211E+01   -0.158480459659619957E+09   -0.602146350544152753E+01    1
