   -0.327620403709115227E+01   -0.696099284870545398E+00    0.795804014592599307E-02    0.924412894422255363E+03   -0.168895163661853616E+03
   -0.324078979077192519E+01   -0.777556033608178598E+00    0.912136071837809856E-02    0.892161863784386583E+03   -0.168151897953655407E+03
   -0.326198100257184898E+01   -0.889773527707217626E+00    0.921472385461043902E-02    0.885864684267053804E+03   -0.167375797276089600E+03
   -0.320625645956897110E+01   -0.729614930220106039E+00    0.912335084618411465E-02    0.876425427404209813E+03   -0.167362287066160235E+03
   -0.320578732714860015E+01   -0.690425618374172156E+00    0.909470021468973544E-02    0.880384084829804010E+03   -0.167285104976829757E+03
   -0.325767295798385614E+01   -0.814917670431010155E+00    0.952762710659735279E-02    0.888155594375782698E+03   -0.167203950839022809E+03
   -0.322975297738146860E+01   -0.623238013962112536E+00    0.842567733878265071E-02    0.899753689862215083E+03   -0.167096130898377737E+03
   -0.323394805527117812E+01   -0.723895550079238781E+00    0.839188476558384508E-02    0.899827835356766172E+03   -0.167088915949161247E+03
   -0.321156650851926795E+01   -0.628500491799058869E+00    0.874259719664459596E-02    0.887271605041027101E+03   -0.166565535874251822E+03
   -0.328609307387756999E+01   -0.803555851512159025E+00    0.840146713618810520E-02    0.910662326551992805E+03   -0.166562382490106557E+03
   -0.327042401215136547E+01   -0.724634306695648878E+00    0.830900825859824665E-02    0.909574794972544282E+03   -0.166491176987963911E+03
   -0.323081848181377618E+01   -0.694961410533790458E+00    0.844587779885923491E-02    0.892838430376843007E+03   -0.166430501555725016E+03
   -0.327158418848268884E+01   -0.873816567120438314E+00    0.900258481578313993E-02    0.899258282355882443E+03   -0.166413032644203128E+03
   -0.323255419470701888E+01   -0.800399852765787401E+00    0.935842888144921420E-02    0.880970542329798491E+03   -0.166363514660358391E+03
   -0.329508644548435381E+01   -0.844870374168920968E+00    0.857197802430622983E-02    0.910468817059924845E+03   -0.166172044966556740E+03
   -0.330128069544203173E+01   -0.892967402665370447E+00    0.897308449133302904E-02    0.905378426293550433E+03   -0.166160593046145607E+03
   -0.323881958411273185E+01   -0.661286391361822545E+00    0.810737957034691863E-02    0.905994180290885765E+03   -0.165946731588717910E+03
   -0.328154340360276731E+01   -0.845670832150406282E+00    0.935329198788109085E-02    0.897605026872844519E+03   -0.165856573785326646E+03
   -0.325264097731880497E+01   -0.694771178158764879E+00    0.818778391941408362E-02    0.905764452097176445E+03   -0.165836620012170897E+03
   -0.330634216226644462E+01   -0.887511124174496402E+00    0.864289054242228620E-02    0.914951489338756915E+03   -0.165833936973869356E+03
   -0.322311450631223950E+01   -0.651166586307436512E+00    0.884687110211613593E-02    0.890768011596825886E+03   -0.165777430594901091E+03
   -0.327595991378329821E+01   -0.797467543607278451E+00    0.871603564574162902E-02    0.901818527456834886E+03   -0.165656505436788080E+03
   -0.327752828856335121E+01   -0.864837940598524924E+00    0.860032644392953911E-02    0.904692372368815313E+03   -0.165445983535812701E+03
   -0.329153229490167787E+01   -0.818688457888146592E+00    0.887566347558866632E-02    0.908076185133116724E+03   -0.165383730054216187E+03
   -0.326424598219864226E+01   -0.854597187624569710E+00    0.940877195123318751E-02    0.890638872623162683E+03   -0.165282371156586379E+03
   -0.327045426404400708E+01   -0.800883973031956575E+00    0.924027973767549068E-02    0.894787690901451924E+03   -0.165233321445213278E+03
   -0.326633499375326597E+01   -0.865763262148918189E+00    0.956319571199953748E-02    0.886513027478105073E+03   -0.165223413568749805E+03
   -0.323634598193727063E+01   -0.697605016158631575E+00    0.866546970114857526E-02    0.899826684944292197E+03   -0.165210837434241853E+03
   -0.322906876413571675E+01   -0.682562894910700768E+00    0.881043863728407130E-02    0.888150720639560291E+03   -0.165201338797492610E+03
   -0.327223838511423581E+01   -0.706713096486102810E+00    0.834695356610146155E-02    0.914126698866124798E+03   -0.165176119582939521E+03
   -0.323715676208274461E+01   -0.688454302784601069E+00    0.861710638410348798E-02    0.893360894774980579E+03   -0.165111053608090970E+03
   -0.327763543285007852E+01   -0.886364886427394527E+00    0.946643740462328395E-02    0.892153824834885540E+03   -0.165071627525223022E+03
   -0.329634320037837236E+01   -0.872185050641591797E+00    0.848197932920754898E-02    0.914373443808996285E+03   -0.165067638971565401E+03
   -0.323346459503112804E+01   -0.721574423372356222E+00    0.888276008752615122E-02    0.894531248436567125E+03   -0.165054519315691749E+03
   -0.322518966165203214E+01   -0.669857905271331822E+00    0.839781537367273109E-02    0.894116697979348828E+03   -0.165044814275092506E+03
   -0.324212824647357056E+01   -0.684203195176265044E+00    0.875942236159818477E-02    0.895122048053484264E+03   -0.165020382960885286E+03
   -0.326771559786917631E+01   -0.882786340030009331E+00    0.934451892173796157E-02    0.886018775960868084E+03   -0.164997053741658533E+03
   -0.321754968322570933E+01   -0.737476537232960583E+00    0.920104547304129855E-02    0.876274261879417622E+03   -0.164977242749172888E+03
   -0.323625149961048741E+01   -0.721759133974960054E+00    0.856151077461941683E-02    0.899561398385580560E+03   -0.164976141387957568E+03
   -0.326934960804895081E+01   -0.781864129765282412E+00    0.905359372356503468E-02    0.896984092211431403E+03   -0.164937316910597104E+03
   -0.325843889211827786E+01   -0.675630584803336154E+00    0.819415817181716293E-02    0.913364214054993454E+03   -0.164891905950593895E+03
   -0.323766347212573358E+01   -0.755024017065008435E+00    0.853900030945173132E-02    0.896568223028923626E+03   -0.164886961666887686E+03
   -0.329122240927239851E+01   -0.903904593083798114E+00    0.904374658094379315E-02    0.903633580643695041E+03   -0.164856935363921821E+03
   -0.330303943859124338E+01   -0.885807666376165814E+00    0.875903319081602905E-02    0.912161489329545134E+03   -0.164852637945163536E+03
   -0.328557711312621770E+01   -0.839963524301069686E+00    0.910153848284770209E-02    0.904702750661922323E+03   -0.164810723601751562E+03
