Nested Sampling Global Log-Evidence           :   -0.152034331125653409E+03  +/-    0.236736363423485474E+00
Nested Importance Sampling Global Log-Evidence:   -0.152456979386003667E+03  +/-    0.176084807638710907E-01

Dim No.       Mean        Sigma
   1   -0.301506651304087381E+01    0.457218073913187653E-01
   2   -0.307831790876206490E+00    0.169562131432783592E-01
   3    0.188648939858581215E-01    0.171074989896501854E-03
   4    0.789751637300438688E+03    0.192026571562225854E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.301058562051228762E+01
   2   -0.305336237812910305E+00
   3    0.188844696823837407E-01
   4    0.787813734763176285E+03

MAP Parameters
Dim No.        Parameter
   1   -0.301058562051228762E+01
   2   -0.305336237812910305E+00
   3    0.188844696823837407E-01
   4    0.787813734763176285E+03
