Nested Sampling Global Log-Evidence           :   -0.154682060014491583E+03  +/-    0.263282749756094281E+00
Nested Importance Sampling Global Log-Evidence:   -0.154831506364717455E+03  +/-    0.236515292271618632E-01

Dim No.       Mean        Sigma
   1   -0.195135450693670442E+01    0.322314137538248918E-01
   2   -0.298962131311240897E+01    0.934710490128009240E-02
   3   -0.121357434813086293E+00    0.711686217647904303E-02
   4    0.964507116847467150E+00    0.207500277161791827E-02
   5    0.106774801657801686E+04    0.191197625572092011E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.190884772991467311E+01
   2   -0.299976911163968563E+01
   3   -0.116958866012786267E+00
   4    0.967102764945130033E+00
   5    0.106597660196522975E+04

MAP Parameters
Dim No.        Parameter
   1   -0.190884772991467311E+01
   2   -0.299976911163968563E+01
   3   -0.116958866012786267E+00
   4    0.967102764945130033E+00
   5    0.106597660196522975E+04
